DATE,SEASON,SPORT,TEAM,OPPONENT(S),LOCATION,OUR SCORE,THEIR SCORE,RESULT,GAME/MEET NOTES:,LINK:,,
10/26/22,Fall,Cross Country,Varsity,Region Meet,"Gray, TN",,,"Boys - 1st
Girls - 3rd","The D-B Boys are REGION CHAMPS! Luke Mussard finished 1st overall! Girls finished 3rd, with Autumn Headrick leading the field. Both teams qualified for the state meet!",https://t.co/kQiBoszm1t,,
10/22/22,Fall,Women's Soccer,Varsity,Bearden,Away,0,8,L,TSSAA Sectional,,,
10/21/22,Fall,Football,Varsity,Oak Ridge,Home,21,12,W,,,,
10/20/22,Fall,Women's Soccer,Varsity,Science Hill,Away,2,3,L,,,,
10/19/22,Fall,Football,FR,Science Hill,Away,27,14,W,,,,
10/18/22,Fall,Cross Country,Varsity,Conference Meet,West Ridge H.S.,,,"Girls - 3rd
Boys - 1st","-Boys are conference champs!
Boys XC State Meet Qualifiers:
All-Conference 1st Team: Luke Mussard, Dane Sullins, Ethan Wellman | 2nd Team: Caleb Hagood, Gavin Thomas, Adam Heiba

Girls' All-Conference 1st Team: Autumn Headrick, Emma Baker | 2nd Team: Emma Williams, Tiesha Turner",,, 
10/18/22,Fall,Women's Soccer,Varsity,Jefferson County,Away,3,1,W,Region 1-AAA Semifinals,,,
10/17/22,Fall,Bowling,Varsity,Cherokee,Home,"Boys - 22
Girls - 10","Boys - 1
Girls - 13","Boys - W
Girls - L",,,,
10/17/22,Fall,Football,JV,Science HIll,Away,0,14,L,,,,
10/14/22,Fall,Football,Varsity,William Blount,Home,55,7,W,,,,
10/13/22,Fall,W Soccer,Varsity,Science Hill,Home,0,4,L,District 1-AAA Championship,,,
10/11/22,Fall,W Soccer,Varsity,Daniel Boone,Home,3,1,W,District 1-AAA Semifinals,,,
10/10/22,Fall,Football,JV,Elizabethton,Home,28,40,L,,,,
10/8/22,Fall,Cross Country,Varsity,Trailblazer Invitational,"Gray, TN",,,,"Luke Mussard finished 1st overall, which makes him the first D-B winner since 1993! Due to a timing malfunction, there were no overall team results. Ethan Wellman and Caleb Hagood ran very well for the Tribe and finished in the top 20. Running well and finishing in the top 20 for the girls were Emma Baker and Sarah Siner! Great job!",,,
10/7/22,Fall,W Golf,Varsity,TSSAA Class AA Girls' Golf Championships,"Sevierville, TN",,,4th,The TRIBE finished 4th overall at the state tournament. Aliezah Robinson (freshman) finished 14th overall and McKenzie Hauk (junior) finished 18th overall.,TSSAA Results,,
10/4/22,Fall,W Volleyball,Varsity,David Crockett,Daniel Boone H.S.,2,3,L,"25-17, 19-25, 30-32, 25-19, 13-15",,,
10/3/22,Fall,W Volleyball,Varsity,West Ridge,Daniel Boone H.S.,1,3,L,"22-25, 25-20, 28-30, 8-25 | Next match: 10/4 vs Crockett @ 5pm",,,
10/1/22,Fall,W Volleyball,JV,David Crockett,Away,1,2,L,Big 5 JV Tournament,,,
9/30/22,Fall,Football,Varsity,Jefferson County,Away,34,10,W,,,,
